timestamp;src_ip;dst_ip;src_port;dst_port;protocol;attack_type;user;status;error_message;geo_location;session_hash
2024-09-22T20:16:15;98.117.139.140;163.251.95.68;;;ICMP;Port Scanning;root;Falhou;Invalid Password;São Paulo, Brasil;16991049
2024-03-12T13:33:55;132.95.60.13;82.123.249.140;69;161;UDP;DDoS;guest;Falhou;Access Denied;Tokyo, Japão;17ec86a
2024-05-20T22:09:25;145.16.29.161;240.202.154.245;68;53;UDP;Exploração de Vulnerabilidade;root;Sucesso;;New York, USA;1c64a94
2024-01-23T20:04:20;148.80.10.227;127.63.234.153;;;ICMP;Port Scanning;root;Sucesso;;São Paulo, Brasil;21f7d2b
2024-02-18T06:11:12;19.246.254.219;176.70.17.95;67;161;UDP;Exploração de Vulnerabilidade;admin;Falhou;Rate Limit Exceeded;Berlin, Alemanha;7351e29
2024-03-18T01:16:22;148.80.10.227;9.209.75.29;443;8080;TCP;Brute Force;admin;Falhou;Rate Limit Exceeded;São Paulo, Brasil;12cf23f3
2024-08-17T17:27:40;177.250.108.226;29.167.4.77;22;80;TCP;Exploração de Vulnerabilidade;admin;Falhou;403 Forbidden;São Paulo, Brasil;1b101e24
2024-01-24T01:41:48;214.135.216.163;48.35.179.100;80;80;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;New York, USA;13ac14ed
2024-07-01T15:42:55;239.43.123.157;26.29.82.152;443;22;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Tokyo, Japão;1f6d242c
2024-08-18T23:23:58;8.248.212.171;145.15.117.117;3306;8080;TCP;Brute Force;root;Sucesso;;Tokyo, Japão;26171bdd
2024-06-01T10:03:50;176.217.97.70;32.225.248.93;;;ICMP;DDoS;admin;Falhou;Rate Limit Exceeded;Berlin, Alemanha;2286de4
2024-01-23T12:11:59;230.135.117.188;125.242.179.3;161;69;UDP;DDoS;root;Sucesso;;Berlin, Alemanha;239a1805
2024-01-03T22:53:00;192.225.50.138;174.189.45.241;80;22;TCP;Brute Force;root;Sucesso;;Tokyo, Japão;1c9a2277
2024-09-30T02:26:55;93.11.26.60;134.65.37.113;443;3306;TCP;Exploração de Vulnerabilidade;root;Sucesso;;São Paulo, Brasil;19a52359
2024-01-30T16:45:46;148.80.10.227;5.184.243.83;67;68;UDP;Exploração de Vulnerabilidade;admin;Falhou;Access Denied;São Paulo, Brasil;1f751de6
2024-09-02T22:18:19;169.240.88.9;12.5.200.241;;;ICMP;Port Scanning;root;Falhou;Rate Limit Exceeded;Paris, França;b6a8e6
2024-04-29T02:24:34;89.152.69.41;53.160.8.203;161;67;UDP;DDoS;admin;Sucesso;;New York, USA;1d96956
2024-09-16T05:18:00;239.161.51.255;65.127.97.107;;;ICMP;DDoS;root;Falhou;403 Forbidden;New York, USA;19d3d52
2024-05-05T05:00:24;157.6.218.72;101.210.62.252;;;ICMP;Port Scanning;guest;Sucesso;;New York, USA;66d18f1
2024-08-12T13:09:55;23.83.95.75;119.81.40.150;443;22;TCP;Exploração de Vulnerabilidade;root;Falhou;Rate Limit Exceeded;Paris, França;195e2214
2024-04-05T18:14:42;169.217.237.180;175.93.35.255;69;53;UDP;Exploração de Vulnerabilidade;guest;Sucesso;;Berlin, Alemanha;64225f7
2024-09-30T06:03:14;11.92.115.9;4.26.209.50;80;80;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;New York, USA;8691cb6
2024-01-30T07:58:34;254.253.156.26;181.14.193.81;68;69;UDP;DDoS;root;Falhou;Rate Limit Exceeded;New York, USA;5cf4ab
2024-03-01T19:57:50;104.255.176.90;229.243.28.116;;;ICMP;DDoS;admin;Sucesso;;Berlin, Alemanha;7752268
2024-02-02T04:26:42;235.85.24.55;62.104.6.95;161;53;UDP;DDoS;admin;Sucesso;;Tokyo, Japão;a4226ed
2024-02-25T10:15:57;106.125.62.65;191.109.249.146;8080;8080;TCP;Exploração de Vulnerabilidade;admin;Falhou;Invalid Password;Berlin, Alemanha;15841dcb
2024-06-15T04:05:46;93.198.214.175;249.176.188.216;69;69;UDP;Exploração de Vulnerabilidade;guest;Falhou;403 Forbidden;Paris, França;5d12447
